BUILDING.ID,pred_energy_cost_saving_CDI,pred_elec_cost_saving_CDI,pred_gas_cost_saving_CDI
434549000000.0,245.32638847883456,276.5768835553419,-31.25014458492421
435188000000.0,213.72883408594018,156.72041929131402,57.00884421894227
504861000000.0,239.6578281032256,160.27499653844558,79.38320381552056
494663000000.0,296.1718049467272,276.7828598977152,19.389419504531283
475206000000.0,257.1960251337324,236.5546145642912,20.64168085845008
471252000000.0,240.57864773938869,193.13042080487838,47.44844813084715
472257000000.0,368.1614850485881,314.2200609938621,53.94235878479495
464750000000.0,280.29352838472767,278.06737445346073,2.2266146970983947
463974000000.0,204.67000527088456,250.97555298974962,-46.30525809964226
461080000000.0,249.30996020956516,270.592371391112,-21.28221891565237
456520000000.0,262.01499161829577,218.91760816390308,43.097920885618755
455605000000.0,280.51094272923166,342.63118380836687,-62.12005274464422
455927000000.0,233.95255426845645,130.9359069745011,103.0169398885161
454607000000.0,283.7031489753445,235.96167015814686,47.74207674078878
456138000000.0,276.37286921122103,334.72153595993336,-58.34832551259558
455621000000.0,0.0,0.0,0.0
458695000000.0,296.60483576991834,306.9649985701126,-10.360070833375273
457886000000.0,213.9675783922608,156.34889155399054,57.61893883955796
457945000000.0,26030.1505796496,-21679.291960952287,47709.34329353563
467741000000.0,273.04865048595497,238.5137205396649,34.535083981784574
466610000000.0,278.5700706005167,319.38452472672725,-40.814303779050725
464154000000.0,300.67909323805577,278.5821361082376,22.0973902454186
470607000000.0,227.96888057548145,207.66021202949486,20.30886894904225
468882000000.0,294.61531772166893,317.30079494285167,-22.685338916642166
466526000000.0,313.06772744383863,260.76099842346247,52.30744512862235
468497000000.0,311.10026531812923,302.19185754134924,8.908859957602864
467510000000.0,421.6520564979923,373.930327507529,47.72277540474036
467485000000.0,300.38209098479217,278.89861051115935,21.484066948982754
461216000000.0,265.085080843332,290.40781304107264,-25.322387880649213
465323000000.0,318.37894132620085,314.9339914590617,3.445075721694637
465761000000.0,243.3135690434325,246.4098323279177,-3.0960720016530203
474632000000.0,382.93075102819563,214.79073445982212,168.13956113073402
471194000000.0,528.6883265833744,41.21821808166335,487.46900698116747
459703000000.0,260.0539978309775,202.55521521767417,57.499346780527894
457792000000.0,286.2426680783635,342.7508360242028,-56.507791108042404
462437000000.0,281.2043049502106,278.2298272141473,2.9749791976019435
472184000000.0,304.79638376517397,144.70393120543682,160.09236781707727
457279000000.0,200.89636801535423,157.94696694833894,42.94986043910549
453066000000.0,239.4066242167912,202.97934459367474,36.42784232555965
449468000000.0,263.052318719198,306.2410420271662,-43.18849250864765
451952000000.0,201.82106441132245,196.76025108502841,5.061389132167808
478819000000.0,232.68961393091672,218.37275062403918,14.31711536168192
479637000000.0,295.4736841229015,335.4559278522297,-39.98182919829135
481094000000.0,366.9684424000861,229.5515200306064,137.41737292564233
500665000000.0,364.06221351286484,301.5149496541144,62.547099712157504
509294000000.0,248.59105364627547,278.72830996533884,-30.13702441153316
507501000000.0,730.5608311642952,661.810444646242,68.75236815463096
495690000000.0,287.22321912915675,285.97970922312726,1.2436049832755371
491536000000.0,260.5873200992238,344.29169033532315,-83.70405944192828
490551000000.0,285.9373300243428,211.10155401303646,74.83620085673839
492026000000.0,426.87322253178894,437.16165495631185,-10.287332837250766
494261000000.0,256.95914444953416,135.6057035544149,121.3537001453615
484963000000.0,452.45689429884965,463.4985872252756,-11.040455270826634
481333000000.0,346.28769428359533,37.839731495055844,308.44778223703486
480654000000.0,303.67315097857625,245.9065484265193,57.766612078063346
477970000000.0,267.14368598456184,238.91261240646327,28.231469475155567
477309000000.0,180.00965334472718,166.59490613521828,13.41517051734468
475763000000.0,1408.244131395972,1494.7880921700382,-86.54033892602828
476464000000.0,314.07776795387934,261.6796199963329,52.398859430236385
478644000000.0,252.75346938001138,294.7984232047947,-42.04470026318482
478704000000.0,293.5839374227372,223.3695224427639,70.21493329070438
480454000000.0,289.15349270746776,99.095008943653,190.0586392427156
480700000000.0,401.1399722263334,392.4850254585997,8.65591485955488
480666000000.0,268.24026492997865,169.7328294777161,98.50781751897304
476557000000.0,279.1729484813355,209.59810815291883,69.57528361246176
477686000000.0,930.6068374592516,-603.0794724229012,1533.6832706969922
475985000000.0,0.0,0.0,0.0
476176000000.0,276.00208641607554,229.0956529771772,46.90697150115392
479882000000.0,348.7388168383283,341.23609225354517,7.503581756681736
458491000000.0,181.10539370437988,127.23117621396318,53.87454376899355
474406000000.0,390.2074282419149,337.5884819315722,52.619923979225035
475042000000.0,299.6511814415638,117.8729485585673,181.7784370632647
472822000000.0,315.1289949621707,303.5819648550008,11.547121459450247
471519000000.0,334.47196368675617,177.21010708626582,157.26195220706663
470995000000.0,298.40450757133175,341.54442245199164,-43.139308609918295
468511000000.0,264.25926050702355,148.1496306244281,116.1099410489139
466354000000.0,263.51208671923735,231.9331247208149,31.579157209183283
465811000000.0,258.64746039478365,53.23779193139841,205.40963829196014
466471000000.0,269.1774100555423,286.31257368689586,-17.13495995232325
466832000000.0,535.8100115250313,497.95720017232213,37.85428327556737
468856000000.0,313.3975010142123,334.12697155270394,-20.72941558498457
469108000000.0,273.5079922716402,279.7675614386701,-6.259072506393615
469269000000.0,316.01603014171474,314.58195452264806,1.4347067501118893
470244000000.0,399.4478398461132,370.81519112690836,28.633737090879254
470476000000.0,944.666850050349,894.7694235967607,49.900119706388686
469061000000.0,187.18108095028268,60.200770303473256,126.98039126225632
470982000000.0,197.97794566976555,70.30315080044058,127.67491631897128
470898000000.0,230.35155071609574,174.6447405566224,55.7069986780203
473029000000.0,433.2171745669715,400.07471377375396,33.1434675667459
472640000000.0,217.05671160287503,180.10045369889042,36.95648277733533
473093000000.0,316.24606231439407,213.9822833401562,102.26435636667073
472660000000.0,299.8129206047888,208.33123553000388,91.48202517625471
471133000000.0,261.63827406180985,162.21259849224137,99.42589758512504
471765000000.0,278.1279552606519,246.7039309187163,31.42416894935466
474326000000.0,424.0978744492572,341.98369066291696,82.11488990653898
471421000000.0,322.7440407894483,326.4326139138157,-3.688520076157895
470236000000.0,264.50355034178017,224.6924972653879,39.81129109562377
470257000000.0,418.2413972995418,180.2118057587376,238.02932725528782
469116000000.0,337.34316481079486,133.5190607959785,203.82405438329133
468365000000.0,252.97843939493958,160.20811340286838,92.7707563183511
467316000000.0,316.0914620987187,297.9387247577724,18.153231010750886
467366000000.0,264.4464442698076,303.3802464340965,-38.9336062482529
467364000000.0,296.9758585328257,290.4010338580565,6.574951825855737
467052000000.0,1230.1165401605624,1570.8642682113434,-340.74530185836693
464427000000.0,212.97773160132573,162.30391063897903,50.67404298548535
463795000000.0,315.2821678056965,-43.51040050238171,358.79199209656815
468163000000.0,384.2829296547553,368.8638725475802,15.420050433944285
473632000000.0,380.48633835590726,260.77668175216087,119.70950914217752
473784000000.0,283.3745825026686,291.0465736984638,-7.671876838608303
473704000000.0,307.7864270286538,301.6421255501229,6.144983679471202
474244000000.0,252.04052824986076,167.1765255886084,84.8644198191336
449028000000.0,212.5662615803,167.98087482754215,44.58559014498724
443719000000.0,269.0376025769697,323.3725025536972,-54.334618920847596
444901000000.0,211.913209909973,89.56568243984552,122.3476493372737
443893000000.0,257.26151975708444,320.4169801379119,-63.15522241471907
445019000000.0,286.7919166846172,321.288160013745,-34.495754018710194
446998000000.0,291.58662221041413,341.739700979704,-50.15243229871936
456092000000.0,275.18037585183066,329.05164693019015,-53.87106085941117
456439000000.0,264.71784598492883,344.21825912300375,-79.50015093930872
455425000000.0,267.3929407874704,340.479540842824,-73.08627218285166
456610000000.0,319.15544631456885,344.46693536305924,-25.31083827842332
456602000000.0,269.97085234131094,330.43656783135214,-60.46549695015213
446040000000.0,269.8700188797372,286.32988243475313,-16.45979572929837
447012000000.0,250.00222637867734,282.07911188151706,-32.076437444689525
445735000000.0,294.4418618153677,336.7553711608414,-42.3130028536936
445748000000.0,0.0,0.0,0.0
446718000000.0,243.418604988098,269.4173646235159,-25.998466409442138
450189000000.0,247.3632573509184,275.1379031490804,-27.77440412844852
455028000000.0,251.5213438854974,156.6080358155782,94.91364657959343
462918000000.0,233.1771568720533,328.66457691341213,-95.4869909010695
463026000000.0,204.0622304712046,303.1898393049996,-99.12722106084492
463793000000.0,262.62119448496134,249.17183999452072,13.449949930568843
453820000000.0,274.483005761187,257.86546652589504,16.617831174407193
475429000000.0,255.2801465329785,213.54055747381744,41.73986563799611
467111000000.0,219.48095569493046,339.5003994895968,-120.01905164867313
467661000000.0,233.34169556956027,44.22516835594635,189.1164891295616
474254000000.0,303.39070979766115,319.9022745472769,-16.51132438609233
473655000000.0,0.0,0.0,0.0
476881000000.0,430.14676794048836,429.019021215792,1.1288530329550532
481728000000.0,238.82154623001782,372.2338667836026,-133.41191204620623
471481000000.0,496.4689510129193,-238.2972112577811,734.764819756801
468637000000.0,221.8140506524921,73.43828043799664,148.3758929038277
473025000000.0,323.9730229632936,166.7318296113967,157.2413130045171
478513000000.0,274.58427055130755,267.94649478358866,6.637938359631517
457073000000.0,202.80751452062447,164.99856700021917,37.80927512464464
475843000000.0,271.5742559225303,339.5341419716188,-67.95926418444569
481169000000.0,293.5143156581744,298.21183968011434,-4.697359514945884
477402000000.0,246.0499145484816,129.08506521964466,116.96508452093724
488788000000.0,401.11148195861193,375.79333304307227,25.319185524676968
491164000000.0,417.0231651030026,373.03161251706655,43.99253632580564
421292000000.0,242.09823049727638,195.0631043912888,47.0354151401794
401515000000.0,237.30900154100442,232.23200854706448,5.077428609635605
419589000000.0,272.32019394197744,181.73747045591915,90.58298945173374
419662000000.0,0.0,0.0,0.0
421092000000.0,244.72149873254227,226.9523622524348,17.769358796471344
420625000000.0,245.86284262400318,320.8076880727298,-74.9445535225928
420719000000.0,286.2523454574723,329.2220532687918,-42.969263741845616
421595000000.0,313.36512321126185,310.0852057506956,3.2805404450272064
421312000000.0,256.00016077496645,330.2105887988932,-74.21006967354212
421876000000.0,279.72255146899954,312.7147817719986,-32.99186918238961
417448000000.0,269.075129914994,330.89481592144483,-61.819228085067536
420733000000.0,290.4415653006435,331.9696342569312,-41.527614158777226
425325000000.0,247.83911121612,306.12511581791415,-58.28576308963989
425409000000.0,206.1509342887868,124.59837580316388,81.55281948053238
425868000000.0,237.18914444744598,243.5697428005835,-6.379996949419053
427278000000.0,222.1184590486035,176.81314730615026,45.305760596726024
427827000000.0,230.45694385329483,236.60867185186615,-6.151345350252228
432345000000.0,278.9218298254907,345.91680426331015,-66.99464738383567
432611000000.0,293.95089626800035,332.5287600163527,-38.57772732067214
433039000000.0,245.0342209542856,270.0730473747342,-25.0384780056148
431909000000.0,203.2546329663005,132.9957832498953,70.25914745388404
