BUILDING.ID,pred_energy_cost_saving_ACOPT,pred_elec_cost_saving_ACOPT,pred_gas_cost_saving_ACOPT
394741908728,355.31458078399515,197.879443911244,157.43521388615594
394973908625,494.3134630490822,255.891095498464,238.42207995907205
395110896141,692.7525039800921,397.824386794764,294.9284169957524
395346837868,803.7954086247662,447.45614379074,356.33933262095604
395399896202,552.8650296810508,285.87088637630103,266.9938105538484
395704895544,1204.8137738668745,720.533186527791,484.2813086983979
395978908712,393.3337576391625,252.602258439123,140.73221559292716
396735895882,560.5908379597557,289.764423772008,270.8260742014163
396798905808,197.60205365377112,123.086631741811,74.51573549566237
397132892399,1207.6227417033372,703.2252602690711,504.39792349806856
398444886458,605.2396127759328,311.20799380422903,294.0312164456806
398471885679,350.15463862188886,180.977580455646,169.17685594170774
398504886181,211.18657728891296,131.398254129077,79.78865352242181
398712886270,377.4238678668766,199.85633720372502,177.56740657122157
398795887708,1532.454576564397,957.959163679978,574.4965742700913
398839886227,164.59916232519873,103.67968778723301,60.91976225739475
398948898861,764.7638404773451,407.773750125544,356.98983706125426
398992911908,774.0079906883943,427.810403128654,346.1976045813427
399051911334,370.80853136695237,196.215049650248,174.59335749602963
399085909786,797.967207954477,369.54391145726095,428.42195236311
399087896452,591.9215507591014,307.914942157624,284.0062847978565
399153886268,518.5742987617887,267.292487668209,251.2814849031401
399203910375,304.15354452356706,163.009117604484,141.14437011380372
399207912060,491.2220218096328,258.246957011573,232.97485671671
399216910632,591.3805573959463,321.816245159759,269.56425940308657
399268899495,265.2765092570407,168.007687279348,97.26928536510816
399332887733,691.82218123155,354.16410469614095,337.6575784679657
399340886990,1062.2637711357395,634.620678643352,427.64379312133684
399371886150,811.0340490229822,434.748307093075,376.28550805152537
399397889583,650.4358137016395,316.017636228561,334.4173810367318
399400891311,596.863060928703,324.755683399526,272.1073226092128
399411901204,879.983118379739,464.40671128202894,415.57600881892415
399441890050,721.138750143945,372.22788833696603,348.9103981230217
399441911856,774.4015151680887,447.919449393584,326.4824335297554
399649887700,669.4343514869526,347.93065512814496,321.503316441974
399655887107,943.9287013822569,522.034437592643,421.8942465511895
399680901132,789.3212787673071,437.02072481462494,352.30058139630034
399687886326,244.62662992542857,153.581449103527,91.04558533351542
399701899576,919.4606864173039,537.2194496332779,382.2417110230594
399735900940,663.0568898157927,347.733014710281,315.32355879878514
399746901791,882.0241316715549,466.63598429773697,415.3877687973938
399759899025,218.1450170010739,132.706987450494,85.43831002360523
399767913480,1390.6141696022503,897.212609470618,493.40307144177217
399778912746,509.1904739281068,266.208624974372,242.98160277524914
399938887042,1000.3225398790908,601.465129114824,398.85816061801
399946906676,664.1492615494603,373.60252545794305,290.5468895323234
399989897561,573.3811490771127,311.98114941330005,261.39995009848474
400046910437,469.1811641313694,253.161726705499,216.01936719848217
400062909942,674.7723972891923,320.607700520141,354.1637256683107
400141910411,281.95845565831905,154.70411317269802,127.25436311717364
400186910666,823.0795058369293,439.656195038678,383.4230432165493
400195909633,427.5686298615661,273.824645444744,153.74473814689355
400213886331,675.0830345609521,326.699032895519,348.383148381185
400237911660,598.758731118096,341.992764400201,256.76621245431073
400366886694,530.3407130660054,295.87662944477,234.46418195285315
400633893574,1537.5642601275165,957.708545418329,579.8568360671153
400961886303,609.5067615455623,299.111624412958,310.39445156954264
401184886378,210.44961917417967,125.34742380553699,85.10241342746106
401333887884,667.5839203518897,373.81184291205705,293.77219958867835
401514840550,304.55319975251734,174.91481368433702,129.63856127947687
401573885390,534.4697450734485,273.42134126011103,261.0480260217456
402252917842,878.2331443671582,497.30329673749196,380.93004827323585
402257918661,712.8432135771312,470.99616374261706,241.84838532408614
402306884699,685.4831493617628,402.732549090003,282.75105960093134
402392916826,562.4398181661112,292.27277917115396,270.1667279003543
402555885228,1254.6574938283472,789.091506113189,465.5672316967954
402691895849,847.5373558619223,516.427519054637,331.1106489512513
402731916972,1374.1492632894553,839.43310974832,534.7170933715126
402847884286,777.5607050711113,444.44506732269906,333.11591385558916
402850883520,704.1513808964737,372.435609899058,331.71548958389315
402885884809,1345.1475232897756,897.3967368161459,447.7526246964727
403049895823,668.8219028939443,357.55646223714103,311.26524927369167
403109916945,765.110257706445,409.889356597121,355.22068322928857
403199883178,836.679124576037,423.979202454554,412.69922256134606
403267883561,860.2917969009103,452.33282134341596,407.95855840998064
403269883441,549.0043902632437,300.630098148571,248.37428411790063
403273883722,607.8393473278389,358.678822872424,249.16098016454842
403274884028,807.7248758227055,455.1120661804689,352.61297323236755
403283916845,720.9029974981516,374.57530261716494,346.3272781748401
403609884896,534.9841447293451,273.594095006077,261.38966975959596
403613913834,435.4145496200493,268.19373933849096,167.22138012817274
403740895674,1485.5084433604718,910.2754741132389,575.2339247635744
403753912665,899.0805226515514,522.768375843257,376.3125760064399
403772913397,1184.205507330656,749.965282957804,434.2415244993151
403898883039,351.58351900091975,208.477837564174,143.1060044582893
403899912161,1040.5203354985981,477.12858143527,563.3899004236488
403904914860,795.374426916005,493.71642513762004,301.65893483930324
403918885283,674.2362714214131,355.41547970373904,318.82050327594595
403977914508,549.289605169962,295.668802746492,253.62069693249316
403998913694,538.3572530173211,298.306000537106,240.05131250526412
404032895611,794.7181599520517,445.08558789135805,349.6326886908718
404178883880,405.58703494648046,246.434194529738,159.1533149605928
404414885313,616.5677896608613,344.72202404880994,271.84587817428104
404660884630,474.7270512883062,255.962463502394,218.76451244203494
404694882609,958.4789510704953,579.161596661149,379.3181380906124
405076882361,842.6102727931217,504.9009599793,337.70998363664836
406262885408,292.7307241447631,162.933262285224,129.79752868760232
406488895797,441.432150606767,231.55258405046501,209.87937306283038
406494893410,354.2268167226059,195.401065408763,158.82579139278297
406759885305,731.2379060438885,379.19982295181603,352.0376451920432
406994885305,482.78445854407784,243.76961622355597,239.01444058631404
407346893402,835.9309747939792,467.69555311955,368.2355257391825
408428903392,1515.9880610834693,963.8081457202361,552.1812592499148
409207885246,555.8043592216982,298.779869662247,257.0243744891096
409622904665,774.310246406312,430.832364101081,343.47795038530114
409646904982,938.0037210327216,506.28319293412005,431.72029468138436
409818905464,518.4611940873335,301.723235067036,216.738290485829
409865883925,1278.6496289502502,788.242929981622,490.407738718241
410033898757,268.75882384656535,172.245827795013,96.5135041349848
410061918297,649.0399374423067,327.207263112698,321.8321126743112
410167905407,884.3464007730871,514.513367500594,369.8334658842128
410249916907,521.5682729717316,255.636387193399,265.93129614873425
410423918765,616.6927738691729,345.66043936130205,271.0324631046449
410701919036,502.2890469393032,252.08053738613097,250.2080600279531
410815919034,215.89624989522667,134.288627778446,81.60795842164163
410885918448,1450.746120746168,928.081944381431,522.6655963243012
410968918971,919.7569992513577,535.323987352719,384.4334521207532
411125905466,1002.5885770302956,606.938319649271,395.6510710575511
411319896095,492.49538298451387,244.637200256012,247.8576920731464
411629916309,391.47344531160456,199.402509675103,192.07064864190014
411989890809,862.6612631180818,578.5736341013089,284.08925278670387
412387921628,633.6977798836106,314.63692768295897,319.0602102483116
412481921416,345.27198187691283,190.075366449491,155.19664769211337
412616893126,485.34219690116026,247.342268863837,237.9995692618887
412841892459,685.0919856157203,353.225998216542,331.8655427819967
412859892300,586.7621239426306,345.62198891760397,241.14056925018485
412912892777,522.2967714652142,257.216479668213,265.0797257571013
412927892877,474.9186830993959,237.254289480617,237.66394814919292
413088939138,1765.5840315503574,1165.37890524458,600.2067216744148
413569879736,1493.6520749031538,895.117008328102,598.5357705658862
414899895553,335.93473712673887,183.066374540624,152.86835778717526
414972893466,181.57102585139117,107.205859499176,74.36533799162599
415184879552,1201.2658445681109,654.33424158467,546.9313334005344
415259892124,469.9936400643551,238.84483474107898,231.14844536363339
415268895308,279.0515430343002,151.563707083757,127.48782560331324
415274894894,658.181968002797,399.97978563814894,258.2028636738078
415553879956,435.91984718266235,233.616999621333,202.3027542371744
415829821101,607.4119052420491,360.33155900875505,247.08083582670554
416202879924,496.3523323427156,251.11270252064898,245.2392258285857
416286895731,1024.499057680709,622.750718886487,401.7491968977472
416466890846,602.5441446281037,311.575025766692,290.9687522723505
417447839836,402.67095353681066,217.021231703559,185.64966240234062
417535893220,546.5908736766755,267.667678858638,278.9225712483609
417545895824,684.2749037073861,336.676784293392,347.59736307467307
417569898723,191.14897984025023,119.23331277715799,71.91597449495887
417620893202,633.9361525131936,330.45806500124803,303.4777498531384
417753879625,492.10423404909227,298.983693596918,193.12109289278118
417836903641,792.9144988971996,410.09182551275507,382.8221709016819
417899895169,671.6933619561325,316.881246053806,354.81110398359544
417901891827,560.1076361382325,300.44166149673697,259.665845727246
417946821370,459.90596178496963,234.55213953310798,225.35348712270576
417962894177,341.9297797007972,217.423920775267,124.50645430557613
417978894506,347.5732135885479,195.59507062227902,151.97825884396994
418157898450,480.7418088516368,266.136049941925,214.60581540817958
418213840624,604.8952264333527,344.86751533503195,260.02794651707575
418332840576,506.0931957525862,282.769604172163,223.32369695059222
418358879453,452.5179292783094,234.566419107141,217.9512557733924
418596916009,510.43855899874086,256.395911211002,254.04219502366072
418627845966,575.8260329944825,307.930144085361,267.89573653130685
418719846243,873.7987439251241,502.966000483421,370.83308359641336
418772817957,687.1654099607482,429.016988621431,258.1493153411852
418772879441,891.3825335799817,514.272575913533,377.11031873521927
418957907930,474.5907738011496,241.66017704818802,232.93024251955802
418964841435,503.0591682755872,274.146060399511,228.91308088101874
419043905998,513.7348103425849,251.69027336381802,262.0439543632187
419071908316,422.6427229842111,226.120289375332,196.52233678845587
419133838617,585.5853792237948,280.005565514765,305.5790089749962
419146906332,657.6539457655376,358.98061456697195,298.6732826584978
